,type,airline,delay,scheduledTime,actualTime,date,Day of the week
17186,departure,southwest airlines,16.0,2024-05-28 09:15:00,2024-05-28 09:31:00,2024-05-28,Tuesday
17193,departure,united airlines,16.0,2024-05-28 09:20:00,2024-05-28 09:35:00,2024-05-28,Tuesday
17194,departure,southwest airlines,9.0,2024-05-28 09:20:00,2024-05-28 09:28:00,2024-05-28,Tuesday
17195,departure,southwest airlines,17.0,2024-05-28 09:20:00,2024-05-28 09:37:00,2024-05-28,Tuesday
17196,departure,aeromexico,7.0,2024-05-28 09:25:00,2024-05-28 09:32:00,2024-05-28,Tuesday
17202,departure,delta air lines,7.0,2024-05-28 09:25:00,2024-05-28 09:32:00,2024-05-28,Tuesday
17204,departure,aeromexico,8.0,2024-05-28 09:25:00,2024-05-28 09:33:00,2024-05-28,Tuesday
17206,departure,delta air lines,8.0,2024-05-28 09:25:00,2024-05-28 09:33:00,2024-05-28,Tuesday
17207,departure,delta air lines,14.0,2024-05-28 09:25:00,2024-05-28 09:39:00,2024-05-28,Tuesday
17208,departure,aeromexico,38.0,2024-05-28 09:28:00,2024-05-28 10:06:00,2024-05-28,Tuesday
17209,departure,delta air lines,38.0,2024-05-28 09:28:00,2024-05-28 10:06:00,2024-05-28,Tuesday
17211,departure,aeromexico,16.0,2024-05-28 09:30:00,2024-05-28 09:45:00,2024-05-28,Tuesday
17215,departure,delta air lines,16.0,2024-05-28 09:30:00,2024-05-28 09:45:00,2024-05-28,Tuesday
17216,departure,aeromexico,17.0,2024-05-28 09:30:00,2024-05-28 09:46:00,2024-05-28,Tuesday
17223,departure,delta air lines,17.0,2024-05-28 09:30:00,2024-05-28 09:46:00,2024-05-28,Tuesday
17224,departure,delta air lines,12.0,2024-05-28 09:30:00,2024-05-28 09:42:00,2024-05-28,Tuesday
17225,departure,delta air lines,10.0,2024-05-28 09:30:00,2024-05-28 09:40:00,2024-05-28,Tuesday
17226,departure,frontier airlines,11.0,2024-05-28 09:30:00,2024-05-28 09:40:00,2024-05-28,Tuesday
17227,departure,delta air lines,9.0,2024-05-28 09:33:00,2024-05-28 09:41:00,2024-05-28,Tuesday
17229,departure,delta air lines,11.0,2024-05-28 09:33:00,2024-05-28 09:43:00,2024-05-28,Tuesday
17232,departure,delta air lines,12.0,2024-05-28 09:35:00,2024-05-28 09:47:00,2024-05-28,Tuesday
17233,departure,aeromexico,25.0,2024-05-28 09:37:00,2024-05-28 10:01:00,2024-05-28,Tuesday
17234,departure,delta air lines,25.0,2024-05-28 09:37:00,2024-05-28 10:01:00,2024-05-28,Tuesday
17238,departure,delta air lines,11.0,2024-05-28 09:40:00,2024-05-28 09:51:00,2024-05-28,Tuesday
17240,departure,delta air lines,8.0,2024-05-28 09:40:00,2024-05-28 09:48:00,2024-05-28,Tuesday
17242,departure,aeromexico,14.0,2024-05-28 09:41:00,2024-05-28 09:54:00,2024-05-28,Tuesday
17247,departure,delta air lines,14.0,2024-05-28 09:41:00,2024-05-28 09:54:00,2024-05-28,Tuesday
17248,departure,delta air lines,15.0,2024-05-28 09:43:00,2024-05-28 09:57:00,2024-05-28,Tuesday
17249,departure,delta air lines,14.0,2024-05-28 09:43:00,2024-05-28 09:56:00,2024-05-28,Tuesday
17250,departure,delta air lines,19.0,2024-05-28 09:45:00,2024-05-28 10:03:00,2024-05-28,Tuesday
17251,departure,aeromexico,19.0,2024-05-28 09:45:00,2024-05-28 10:03:00,2024-05-28,Tuesday
17252,departure,delta air lines,26.0,2024-05-28 09:45:00,2024-05-28 10:10:00,2024-05-28,Tuesday
17254,departure,jetblue airways,1.0,2024-05-28 09:48:00,2024-05-28 09:49:00,2024-05-28,Tuesday
17255,departure,delta air lines,9.0,2024-05-28 09:50:00,2024-05-28 09:58:00,2024-05-28,Tuesday
17256,departure,aeromexico,135.0,2024-05-28 10:00:00,,2024-05-28,Tuesday
17258,departure,delta air lines,135.0,2024-05-28 10:00:00,,2024-05-28,Tuesday
17262,departure,delta air lines,8.0,2024-05-28 10:00:00,2024-05-28 10:07:00,2024-05-28,Tuesday
17263,departure,delta air lines,9.0,2024-05-28 10:05:00,2024-05-28 10:14:00,2024-05-28,Tuesday
17264,departure,delta air lines,32.0,2024-05-28 10:05:00,2024-05-28 10:37:00,2024-05-28,Tuesday
17265,departure,delta air lines,15.0,2024-05-28 10:10:00,2024-05-28 10:24:00,2024-05-28,Tuesday
17267,departure,frontier airlines,11.0,2024-05-28 10:12:00,2024-05-28 10:22:00,2024-05-28,Tuesday
17271,departure,delta air lines,17.0,2024-05-28 10:28:00,2024-05-28 10:45:00,2024-05-28,Tuesday
17273,departure,delta air lines,65.0,2024-05-28 10:32:00,,2024-05-28,Tuesday
17274,departure,southwest airlines,13.0,2024-05-28 10:35:00,2024-05-28 10:47:00,2024-05-28,Tuesday
17276,departure,united airlines,44.0,2024-05-28 10:45:00,2024-05-28 11:28:00,2024-05-28,Tuesday
17278,departure,american airlines,4.0,2024-05-28 10:50:00,2024-05-28 10:54:00,2024-05-28,Tuesday
17279,departure,aeromexico,10.0,2024-05-28 10:51:00,2024-05-28 11:01:00,2024-05-28,Tuesday
17281,departure,delta air lines,10.0,2024-05-28 10:51:00,2024-05-28 11:01:00,2024-05-28,Tuesday
17283,departure,delta air lines,17.0,2024-05-28 10:59:00,2024-05-28 11:16:00,2024-05-28,Tuesday
17284,departure,delta air lines,10.0,2024-05-28 11:00:00,2024-05-28 11:10:00,2024-05-28,Tuesday
17285,departure,aeromexico,11.0,2024-05-28 11:00:00,2024-05-28 11:11:00,2024-05-28,Tuesday
17286,departure,delta air lines,11.0,2024-05-28 11:00:00,2024-05-28 11:11:00,2024-05-28,Tuesday
17287,departure,delta air lines,49.0,2024-05-28 11:00:00,2024-05-28 11:49:00,2024-05-28,Tuesday
17291,departure,delta air lines,13.0,2024-05-28 11:00:00,2024-05-28 11:13:00,2024-05-28,Tuesday
17293,departure,delta air lines,15.0,2024-05-28 11:00:00,2024-05-28 11:14:00,2024-05-28,Tuesday
17294,departure,delta air lines,12.0,2024-05-28 11:00:00,2024-05-28 11:11:00,2024-05-28,Tuesday
17295,departure,delta air lines,32.0,2024-05-28 11:01:00,2024-05-28 11:33:00,2024-05-28,Tuesday
17301,departure,alaska airlines,32.0,2024-05-28 11:05:00,2024-05-28 11:37:00,2024-05-28,Tuesday
17303,departure,aeromexico,14.0,2024-05-28 11:05:00,2024-05-28 11:18:00,2024-05-28,Tuesday
17307,departure,delta air lines,14.0,2024-05-28 11:05:00,2024-05-28 11:18:00,2024-05-28,Tuesday
17312,departure,delta air lines,24.0,2024-05-28 11:05:00,2024-05-28 11:29:00,2024-05-28,Tuesday
17313,departure,aeromexico,39.0,2024-05-28 11:05:00,2024-05-28 11:43:00,2024-05-28,Tuesday
17314,departure,delta air lines,39.0,2024-05-28 11:05:00,2024-05-28 11:43:00,2024-05-28,Tuesday
17315,departure,delta air lines,13.0,2024-05-28 11:05:00,2024-05-28 11:17:00,2024-05-28,Tuesday
17316,departure,delta air lines,,2024-05-28 11:05:00,2024-05-28 11:05:00,2024-05-28,Tuesday
17317,departure,aeromexico,17.0,2024-05-28 11:10:00,2024-05-28 11:27:00,2024-05-28,Tuesday
17320,departure,delta air lines,17.0,2024-05-28 11:10:00,2024-05-28 11:27:00,2024-05-28,Tuesday
17321,departure,delta air lines,9.0,2024-05-28 11:10:00,2024-05-28 11:19:00,2024-05-28,Tuesday
17322,departure,delta air lines,,2024-05-28 11:10:00,2024-05-28 11:10:00,2024-05-28,Tuesday
17324,departure,aeromexico,27.0,2024-05-28 11:10:00,2024-05-28 11:36:00,2024-05-28,Tuesday
17329,departure,delta air lines,27.0,2024-05-28 11:10:00,2024-05-28 11:36:00,2024-05-28,Tuesday
17330,departure,delta air lines,24.0,2024-05-28 11:15:00,2024-05-28 11:39:00,2024-05-28,Tuesday
17332,departure,delta air lines,34.0,2024-05-28 11:15:00,2024-05-28 11:49:00,2024-05-28,Tuesday
17333,departure,aeromexico,20.0,2024-05-28 11:15:00,2024-05-28 11:35:00,2024-05-28,Tuesday
17335,departure,delta air lines,20.0,2024-05-28 11:15:00,2024-05-28 11:35:00,2024-05-28,Tuesday
17336,departure,delta air lines,,2024-05-28 11:15:00,2024-05-28 11:15:00,2024-05-28,Tuesday
17340,departure,delta air lines,,2024-05-28 11:20:00,2024-05-28 11:10:00,2024-05-28,Tuesday
17342,departure,delta air lines,18.0,2024-05-28 11:20:00,2024-05-28 11:38:00,2024-05-28,Tuesday
17345,departure,delta air lines,16.0,2024-05-28 11:24:00,2024-05-28 11:40:00,2024-05-28,Tuesday
17346,departure,delta air lines,20.0,2024-05-28 11:25:00,2024-05-28 11:44:00,2024-05-28,Tuesday
17349,departure,delta air lines,18.0,2024-05-28 11:25:00,2024-05-28 11:43:00,2024-05-28,Tuesday
17350,departure,delta air lines,13.0,2024-05-28 11:27:00,2024-05-28 11:39:00,2024-05-28,Tuesday
17353,departure,delta air lines,35.0,2024-05-28 11:27:00,2024-05-28 12:01:00,2024-05-28,Tuesday
17357,departure,delta air lines,15.0,2024-05-28 11:30:00,2024-05-28 11:44:00,2024-05-28,Tuesday
17360,departure,delta air lines,30.0,2024-05-28 11:30:00,2024-05-28 12:00:00,2024-05-28,Tuesday
17361,departure,frontier airlines,15.0,2024-05-28 11:31:00,2024-05-28 11:45:00,2024-05-28,Tuesday
17362,departure,delta air lines,11.0,2024-05-28 11:35:00,2024-05-28 11:46:00,2024-05-28,Tuesday
17363,departure,delta air lines,89.0,2024-05-28 11:35:00,,2024-05-28,Tuesday
17364,departure,southwest airlines,16.0,2024-05-28 11:35:00,2024-05-28 11:51:00,2024-05-28,Tuesday
17365,departure,aeromexico,17.0,2024-05-28 11:40:00,2024-05-28 11:56:00,2024-05-28,Tuesday
17371,departure,delta air lines,17.0,2024-05-28 11:40:00,2024-05-28 11:56:00,2024-05-28,Tuesday
17372,departure,delta air lines,10.0,2024-05-28 11:40:00,2024-05-28 11:50:00,2024-05-28,Tuesday
17373,departure,delta air lines,14.0,2024-05-28 11:45:00,2024-05-28 11:59:00,2024-05-28,Tuesday
17374,departure,aeromexico,28.0,2024-05-28 11:45:00,2024-05-28 12:12:00,2024-05-28,Tuesday
17376,departure,delta air lines,28.0,2024-05-28 11:45:00,2024-05-28 12:12:00,2024-05-28,Tuesday
17377,departure,delta air lines,9.0,2024-05-28 11:45:00,2024-05-28 11:53:00,2024-05-28,Tuesday
17378,departure,delta air lines,7.0,2024-05-28 11:45:00,2024-05-28 11:52:00,2024-05-28,Tuesday
17379,departure,delta air lines,8.0,2024-05-28 11:45:00,2024-05-28 11:52:00,2024-05-28,Tuesday
17380,departure,aeromexico,11.0,2024-05-28 11:50:00,2024-05-28 12:01:00,2024-05-28,Tuesday
17387,departure,delta air lines,11.0,2024-05-28 11:50:00,2024-05-28 12:01:00,2024-05-28,Tuesday
17388,departure,delta air lines,20.0,2024-05-28 11:50:00,2024-05-28 12:10:00,2024-05-28,Tuesday
17389,departure,united airlines,10.0,2024-05-28 11:50:00,2024-05-28 12:00:00,2024-05-28,Tuesday
17395,departure,delta air lines,12.0,2024-05-28 11:55:00,2024-05-28 12:07:00,2024-05-28,Tuesday
17396,departure,southwest airlines,188.0,2024-05-28 11:55:00,,2024-05-28,Tuesday
17397,departure,delta air lines,41.0,2024-05-28 11:59:00,2024-05-28 12:39:00,2024-05-28,Tuesday
17398,departure,american airlines,27.0,2024-05-28 12:01:00,2024-05-28 12:28:00,2024-05-28,Tuesday
17400,departure,alaska airlines,27.0,2024-05-28 12:01:00,2024-05-28 12:28:00,2024-05-28,Tuesday
17401,departure,southwest airlines,18.0,2024-05-28 12:05:00,2024-05-28 12:22:00,2024-05-28,Tuesday
17404,departure,american airlines,10.0,2024-05-28 12:07:00,2024-05-28 12:16:00,2024-05-28,Tuesday
17409,departure,american airlines,17.0,2024-05-28 12:11:00,,2024-05-28,Tuesday
17410,departure,alaska airlines,51.0,2024-05-28 12:15:00,2024-05-28 13:05:00,2024-05-28,Tuesday
17413,departure,united airlines,7.0,2024-05-28 12:32:00,2024-05-28 12:39:00,2024-05-28,Tuesday
17414,departure,southwest airlines,22.0,2024-05-28 12:50:00,2024-05-28 13:11:00,2024-05-28,Tuesday
17417,departure,united airlines,8.0,2024-05-28 12:55:00,2024-05-28 13:03:00,2024-05-28,Tuesday
17420,departure,united airlines,7.0,2024-05-28 13:00:00,2024-05-28 13:06:00,2024-05-28,Tuesday
17421,departure,southwest airlines,24.0,2024-05-28 13:05:00,2024-05-28 13:29:00,2024-05-28,Tuesday
17426,departure,alaska airlines,77.0,2024-05-28 13:19:00,,2024-05-28,Tuesday
17427,departure,southwest airlines,10.0,2024-05-28 13:20:00,2024-05-28 13:30:00,2024-05-28,Tuesday
17433,departure,american airlines,12.0,2024-05-28 13:29:00,2024-05-28 13:40:00,2024-05-28,Tuesday
17434,departure,southwest airlines,5.0,2024-05-28 13:30:00,2024-05-28 13:35:00,2024-05-28,Tuesday
17440,departure,delta air lines,17.0,2024-05-28 13:40:00,2024-05-28 13:56:00,2024-05-28,Tuesday
17442,departure,delta air lines,80.0,2024-05-28 13:40:00,,2024-05-28,Tuesday
17443,departure,delta air lines,32.0,2024-05-28 13:40:00,,2024-05-28,Tuesday
17445,departure,frontier airlines,58.0,2024-05-28 13:41:00,,2024-05-28,Tuesday
17446,departure,aeromexico,52.0,2024-05-28 13:45:00,,2024-05-28,Tuesday
17450,departure,delta air lines,52.0,2024-05-28 13:45:00,,2024-05-28,Tuesday
17451,departure,delta air lines,13.0,2024-05-28 13:45:00,2024-05-28 13:57:00,2024-05-28,Tuesday
17454,departure,delta air lines,7.0,2024-05-28 13:52:00,2024-05-28 13:59:00,2024-05-28,Tuesday
17455,departure,aeromexico,11.0,2024-05-28 13:55:00,2024-05-28 14:05:00,2024-05-28,Tuesday
17458,departure,delta air lines,11.0,2024-05-28 13:55:00,2024-05-28 14:05:00,2024-05-28,Tuesday
17459,departure,delta air lines,9.0,2024-05-28 13:55:00,2024-05-28 14:04:00,2024-05-28,Tuesday
17461,departure,delta air lines,8.0,2024-05-28 13:59:00,2024-05-28 14:07:00,2024-05-28,Tuesday
17467,departure,american airlines,244.0,2024-05-28 14:00:00,,2024-05-28,Tuesday
17468,departure,southwest airlines,53.0,2024-05-28 14:00:00,,2024-05-28,Tuesday
17471,departure,delta air lines,55.0,2024-05-28 14:05:00,,2024-05-28,Tuesday
17472,departure,delta air lines,6.0,2024-05-28 14:05:00,,2024-05-28,Tuesday
17474,departure,delta air lines,12.0,2024-05-28 14:05:00,2024-05-28 14:17:00,2024-05-28,Tuesday
17475,departure,southwest airlines,31.0,2024-05-28 14:05:00,2024-05-28 14:35:00,2024-05-28,Tuesday
17476,departure,delta air lines,9.0,2024-05-28 14:10:00,2024-05-28 14:19:00,2024-05-28,Tuesday
17479,departure,delta air lines,40.0,2024-05-28 14:10:00,2024-05-28 14:50:00,2024-05-28,Tuesday
17481,departure,delta air lines,11.0,2024-05-28 14:10:00,2024-05-28 14:20:00,2024-05-28,Tuesday
17484,departure,delta air lines,8.0,2024-05-28 14:14:00,2024-05-28 14:22:00,2024-05-28,Tuesday
17487,departure,delta air lines,51.0,2024-05-28 14:15:00,2024-05-28 15:05:00,2024-05-28,Tuesday
17490,departure,united airlines,11.0,2024-05-28 14:40:00,2024-05-28 14:51:00,2024-05-28,Tuesday
17491,departure,southwest airlines,40.0,2024-05-28 14:50:00,2024-05-28 15:30:00,2024-05-28,Tuesday
17493,departure,southwest airlines,29.0,2024-05-28 15:00:00,2024-05-28 15:29:00,2024-05-28,Tuesday
17499,departure,delta air lines,12.0,2024-05-28 15:10:00,2024-05-28 15:21:00,2024-05-28,Tuesday
17502,departure,delta air lines,67.0,2024-05-28 15:10:00,,2024-05-28,Tuesday
17505,departure,delta air lines,15.0,2024-05-28 15:10:00,2024-05-28 15:25:00,2024-05-28,Tuesday
17508,departure,delta air lines,17.0,2024-05-28 15:15:00,2024-05-28 15:31:00,2024-05-28,Tuesday
17511,departure,delta air lines,94.0,2024-05-28 15:15:00,,2024-05-28,Tuesday
17513,departure,aeromexico,21.0,2024-05-28 15:20:00,2024-05-28 15:40:00,2024-05-28,Tuesday
17518,departure,delta air lines,21.0,2024-05-28 15:20:00,2024-05-28 15:40:00,2024-05-28,Tuesday
17521,departure,delta air lines,15.0,2024-05-28 15:20:00,2024-05-28 15:35:00,2024-05-28,Tuesday
17525,departure,delta air lines,30.0,2024-05-28 15:25:00,2024-05-28 15:55:00,2024-05-28,Tuesday
17529,departure,delta air lines,9.0,2024-05-28 15:25:00,2024-05-28 15:34:00,2024-05-28,Tuesday
17533,departure,delta air lines,34.0,2024-05-28 15:28:00,2024-05-28 16:02:00,2024-05-28,Tuesday
17537,departure,delta air lines,10.0,2024-05-28 15:29:00,2024-05-28 15:39:00,2024-05-28,Tuesday
17541,departure,delta air lines,101.0,2024-05-28 15:29:00,,2024-05-28,Tuesday
17545,departure,delta air lines,7.0,2024-05-28 15:30:00,2024-05-28 15:36:00,2024-05-28,Tuesday
17549,departure,delta air lines,24.0,2024-05-28 15:34:00,2024-05-28 15:57:00,2024-05-28,Tuesday
17553,departure,delta air lines,10.0,2024-05-28 15:35:00,2024-05-28 15:45:00,2024-05-28,Tuesday
17557,departure,delta air lines,12.0,2024-05-28 15:39:00,2024-05-28 15:51:00,2024-05-28,Tuesday
17561,departure,delta air lines,20.0,2024-05-28 15:40:00,2024-05-28 15:59:00,2024-05-28,Tuesday
17565,departure,delta air lines,19.0,2024-05-28 15:45:00,2024-05-28 16:04:00,2024-05-28,Tuesday
17569,departure,delta air lines,16.0,2024-05-28 15:45:00,2024-05-28 16:00:00,2024-05-28,Tuesday
17570,departure,southwest airlines,40.0,2024-05-28 15:45:00,,2024-05-28,Tuesday
17574,departure,delta air lines,21.0,2024-05-28 15:50:00,2024-05-28 16:11:00,2024-05-28,Tuesday
17578,departure,delta air lines,10.0,2024-05-28 15:55:00,2024-05-28 16:05:00,2024-05-28,Tuesday
17580,departure,frontier airlines,12.0,2024-05-28 15:56:00,,2024-05-28,Tuesday
17583,departure,united airlines,241.0,2024-05-28 15:59:00,,2024-05-28,Tuesday
17586,departure,american airlines,7.0,2024-05-28 16:00:00,2024-05-28 16:06:00,2024-05-28,Tuesday
17590,departure,delta air lines,9.0,2024-05-28 16:00:00,2024-05-28 16:08:00,2024-05-28,Tuesday
17594,departure,delta air lines,6.0,2024-05-28 16:01:00,2024-05-28 16:07:00,2024-05-28,Tuesday
17598,departure,delta air lines,19.0,2024-05-28 16:05:00,2024-05-28 16:24:00,2024-05-28,Tuesday
17602,departure,delta air lines,27.0,2024-05-28 16:05:00,2024-05-28 16:32:00,2024-05-28,Tuesday
17605,departure,delta air lines,13.0,2024-05-28 16:05:00,,2024-05-28,Tuesday
17610,departure,american airlines,177.0,2024-05-28 16:09:00,,2024-05-28,Tuesday
17614,departure,delta air lines,13.0,2024-05-28 16:10:00,2024-05-28 16:22:00,2024-05-28,Tuesday
17617,departure,united airlines,5.0,2024-05-28 16:11:00,2024-05-28 16:16:00,2024-05-28,Tuesday
17621,departure,delta air lines,12.0,2024-05-28 16:15:00,2024-05-28 16:27:00,2024-05-28,Tuesday
17622,departure,spirit airlines,31.0,2024-05-28 16:17:00,2024-05-28 16:47:00,2024-05-28,Tuesday
17626,departure,alaska airlines,36.0,2024-05-28 16:20:00,2024-05-28 16:55:00,2024-05-28,Tuesday
17630,departure,delta air lines,26.0,2024-05-28 16:20:00,2024-05-28 16:46:00,2024-05-28,Tuesday
17638,departure,united airlines,13.0,2024-05-28 16:20:00,2024-05-28 16:33:00,2024-05-28,Tuesday
17642,departure,delta air lines,9.0,2024-05-28 16:30:00,2024-05-28 16:39:00,2024-05-28,Tuesday
17643,departure,southwest airlines,104.0,2024-05-28 16:30:00,,2024-05-28,Tuesday
17644,departure,southwest airlines,20.0,2024-05-28 16:55:00,2024-05-28 17:14:00,2024-05-28,Tuesday
17648,departure,delta air lines,8.0,2024-05-28 17:10:00,2024-05-28 17:17:00,2024-05-28,Tuesday
17652,departure,delta air lines,12.0,2024-05-28 17:10:00,2024-05-28 17:21:00,2024-05-28,Tuesday
17655,departure,delta air lines,8.0,2024-05-28 17:10:00,,2024-05-28,Tuesday
17656,departure,frontier airlines,6.0,2024-05-28 17:10:00,2024-05-28 17:15:00,2024-05-28,Tuesday
17660,departure,delta air lines,17.0,2024-05-28 17:11:00,2024-05-28 17:28:00,2024-05-28,Tuesday
17662,departure,frontier airlines,31.0,2024-05-28 17:12:00,2024-05-28 17:42:00,2024-05-28,Tuesday
17664,departure,aeromexico,8.0,2024-05-28 17:15:00,2024-05-28 17:23:00,2024-05-28,Tuesday
17667,departure,delta air lines,8.0,2024-05-28 17:15:00,2024-05-28 17:23:00,2024-05-28,Tuesday
17670,departure,delta air lines,19.0,2024-05-28 17:15:00,2024-05-28 17:33:00,2024-05-28,Tuesday
17674,departure,delta air lines,16.0,2024-05-28 17:15:00,2024-05-28 17:31:00,2024-05-28,Tuesday
17679,departure,delta air lines,32.0,2024-05-28 17:15:00,2024-05-28 17:46:00,2024-05-28,Tuesday
17682,departure,delta air lines,29.0,2024-05-28 17:15:00,2024-05-28 17:44:00,2024-05-28,Tuesday
17686,departure,delta air lines,20.0,2024-05-28 17:15:00,2024-05-28 17:34:00,2024-05-28,Tuesday
17689,departure,delta air lines,22.0,2024-05-28 17:17:00,2024-05-28 17:38:00,2024-05-28,Tuesday
17693,departure,delta air lines,153.0,2024-05-28 17:20:00,,2024-05-28,Tuesday
17694,departure,delta air lines,31.0,2024-05-28 17:20:00,2024-05-28 17:51:00,2024-05-28,Tuesday
17697,departure,delta air lines,12.0,2024-05-28 17:22:00,2024-05-28 17:33:00,2024-05-28,Tuesday
17701,departure,delta air lines,19.0,2024-05-28 17:24:00,2024-05-28 17:43:00,2024-05-28,Tuesday
17702,departure,southwest airlines,34.0,2024-05-28 17:25:00,2024-05-28 17:58:00,2024-05-28,Tuesday
17704,departure,united airlines,20.0,2024-05-28 17:30:00,2024-05-28 17:50:00,2024-05-28,Tuesday
17705,departure,southwest airlines,21.0,2024-05-28 17:30:00,2024-05-28 17:50:00,2024-05-28,Tuesday
17708,departure,delta air lines,19.0,2024-05-28 17:36:00,2024-05-28 17:54:00,2024-05-28,Tuesday
17710,departure,delta air lines,18.0,2024-05-28 17:39:00,2024-05-28 17:57:00,2024-05-28,Tuesday
17711,departure,delta air lines,13.0,2024-05-28 17:40:00,2024-05-28 17:52:00,2024-05-28,Tuesday
17714,departure,delta air lines,9.0,2024-05-28 17:40:00,2024-05-28 17:49:00,2024-05-28,Tuesday
17719,departure,delta air lines,18.0,2024-05-28 17:45:00,2024-05-28 18:02:00,2024-05-28,Tuesday
17724,departure,delta air lines,,2024-05-28 17:45:00,,2024-05-28,Tuesday
17727,departure,delta air lines,9.0,2024-05-28 17:45:00,2024-05-28 17:54:00,2024-05-28,Tuesday
17729,departure,delta air lines,146.0,2024-05-28 17:50:00,,2024-05-28,Tuesday
17730,departure,delta air lines,15.0,2024-05-28 17:50:00,2024-05-28 18:05:00,2024-05-28,Tuesday
17731,departure,southwest airlines,21.0,2024-05-28 17:50:00,2024-05-28 18:11:00,2024-05-28,Tuesday
17732,departure,delta air lines,6.0,2024-05-28 17:55:00,2024-05-28 18:00:00,2024-05-28,Tuesday
17733,departure,southwest airlines,50.0,2024-05-28 17:55:00,2024-05-28 18:44:00,2024-05-28,Tuesday
17734,departure,delta air lines,50.0,2024-05-28 17:59:00,,2024-05-28,Tuesday
17738,departure,delta air lines,14.0,2024-05-28 17:59:00,2024-05-28 18:12:00,2024-05-28,Tuesday
17752,departure,united airlines,57.0,2024-05-28 08:00:00,,2024-05-28,Tuesday
17766,departure,united airlines,59.0,2024-05-28 10:00:00,,2024-05-28,Tuesday
17772,departure,delta air lines,6.0,2024-05-28 17:00:00,2024-05-28 17:05:00,2024-05-28,Tuesday
17778,departure,southwest airlines,30.0,2024-05-28 16:01:00,2024-05-28 16:31:00,2024-05-28,Tuesday
17784,departure,delta air lines,10.0,2024-05-28 18:30:00,2024-05-28 18:40:00,2024-05-28,Tuesday
17785,departure,frontier airlines,9.0,2024-05-28 18:34:00,2024-05-28 18:43:00,2024-05-28,Tuesday
17790,departure,delta air lines,17.0,2024-05-28 18:53:00,2024-05-28 19:10:00,2024-05-28,Tuesday
17791,departure,southwest airlines,2.0,2024-05-28 19:15:00,2024-05-28 19:17:00,2024-05-28,Tuesday
17793,departure,alaska airlines,,2024-05-28 19:20:00,2024-05-28 19:20:00,2024-05-28,Tuesday
17795,departure,united airlines,6.0,2024-05-28 19:25:00,2024-05-28 19:31:00,2024-05-28,Tuesday
17796,departure,southwest airlines,70.0,2024-05-28 19:40:00,,2024-05-28,Tuesday
17798,departure,frontier airlines,30.0,2024-05-28 19:41:00,2024-05-28 20:10:00,2024-05-28,Tuesday
17799,departure,hawaiian airlines,8.0,2024-05-28 19:59:00,2024-05-28 20:06:00,2024-05-28,Tuesday
17800,departure,jetblue airways,8.0,2024-05-28 19:59:00,2024-05-28 20:06:00,2024-05-28,Tuesday
17807,departure,american airlines,3.0,2024-05-28 20:05:00,2024-05-28 20:08:00,2024-05-28,Tuesday
17808,departure,southwest airlines,8.0,2024-05-28 20:10:00,2024-05-28 20:17:00,2024-05-28,Tuesday
17809,departure,aeromexico,41.0,2024-05-28 20:15:00,2024-05-28 20:56:00,2024-05-28,Tuesday
17812,departure,delta air lines,41.0,2024-05-28 20:15:00,2024-05-28 20:56:00,2024-05-28,Tuesday
17813,departure,aeromexico,10.0,2024-05-28 20:30:00,2024-05-28 20:40:00,2024-05-28,Tuesday
17816,departure,delta air lines,10.0,2024-05-28 20:30:00,2024-05-28 20:40:00,2024-05-28,Tuesday
17817,departure,southwest airlines,248.0,2024-05-28 20:35:00,,2024-05-28,Tuesday
17820,departure,delta air lines,9.0,2024-05-29 15:10:00,2024-05-29 15:19:00,2024-05-29,Wednesday
17824,departure,aeromexico,12.0,2024-05-28 20:45:00,2024-05-28 20:57:00,2024-05-28,Tuesday
17827,departure,delta air lines,12.0,2024-05-28 20:45:00,2024-05-28 20:57:00,2024-05-28,Tuesday
17828,departure,aeromexico,34.0,2024-05-28 20:48:00,2024-05-28 21:21:00,2024-05-28,Tuesday
17831,departure,delta air lines,34.0,2024-05-28 20:48:00,2024-05-28 21:21:00,2024-05-28,Tuesday
17832,departure,aeromexico,29.0,2024-05-28 20:50:00,2024-05-28 21:18:00,2024-05-28,Tuesday
17834,departure,delta air lines,29.0,2024-05-28 20:50:00,2024-05-28 21:18:00,2024-05-28,Tuesday
17835,departure,aeromexico,83.0,2024-05-28 20:51:00,,2024-05-28,Tuesday
17838,departure,delta air lines,83.0,2024-05-28 20:51:00,,2024-05-28,Tuesday
17840,departure,aeromexico,35.0,2024-05-28 20:53:00,2024-05-28 21:28:00,2024-05-28,Tuesday
17844,departure,delta air lines,35.0,2024-05-28 20:53:00,2024-05-28 21:28:00,2024-05-28,Tuesday
17845,departure,aeromexico,81.0,2024-05-28 20:55:00,,2024-05-28,Tuesday
17850,departure,delta air lines,81.0,2024-05-28 20:55:00,,2024-05-28,Tuesday
17851,departure,delta air lines,6.0,2024-05-28 20:55:00,2024-05-28 21:00:00,2024-05-28,Tuesday
17852,departure,aeromexico,55.0,2024-05-28 20:55:00,,2024-05-28,Tuesday
17856,departure,delta air lines,55.0,2024-05-28 20:55:00,,2024-05-28,Tuesday
17857,departure,aeromexico,26.0,2024-05-28 20:55:00,2024-05-28 21:20:00,2024-05-28,Tuesday
17860,departure,delta air lines,26.0,2024-05-28 20:55:00,2024-05-28 21:20:00,2024-05-28,Tuesday
